mass, lifetime, numberDensity, pionBranching, muonBranching, lifetimeFactor, decayFile
900, 0.05, 0.790653, 1.434, 0.0, 10, decayProbs.csv
1, 0.1,5963.87, 0, 0.0, 10, None
